condition_type,condition,horizon_days,sample_count,bio_abs_win_rate,bio_abs_mean,bio_abs_median,bio_max_drawdown,bio_vs_health_win_rate,bio_vs_ai_win_rate,bio_vs_health_mean,bio_vs_ai_mean,a_bio_mean,s1_future_change_mean,volume_expansion_rate,breadth_improvement_rate,confidence
ai_state,AI_INTERNAL_ROTATION,0,6,0.50000000,0.00718313,-0.00292185,-0.01346801,0.66666667,0.33333333,0.00294700,-0.01104489,0.00939543,0.08000000,0.00000000,0.33333333,low
ai_state,AI_INTERNAL_ROTATION,1,6,0.33333333,-0.00488601,-0.00670572,-0.03397129,0.66666667,0.33333333,0.00153847,-0.00741007,0.00145625,0.01100000,0.00000000,0.33333333,low
ai_state,AI_INTERNAL_ROTATION,2,5,0.20000000,-0.02469807,-0.02867830,-0.08740086,0.60000000,0.40000000,0.00085857,-0.01570683,-0.02008127,-0.02880000,0.00000000,0.40000000,low
ai_state,AI_INTERNAL_ROTATION,3,5,0.20000000,-0.02570324,-0.04425837,-0.10659195,0.20000000,0.20000000,0.00024447,-0.01414506,-0.01962001,0.00840000,0.00000000,0.40000000,low
ai_state,AI_INTERNAL_ROTATION,5,5,0.20000000,-0.03177731,-0.03740648,-0.10328028,0.20000000,0.40000000,-0.00060649,-0.02295998,-0.02546868,0.00120000,0.00000000,0.40000000,low
ai_state,AI_PROFIT_TAKING,0,1,0.00000000,-0.00735294,-0.00735294,0.00000000,0.00000000,1.00000000,-0.00961028,0.00766207,0.00116822,-0.04200000,0.00000000,0.00000000,low
ai_state,AI_PROFIT_TAKING,1,1,0.00000000,-0.01333333,-0.01333333,0.00000000,1.00000000,1.00000000,0.00618619,0.01563008,-0.00466744,0.00000000,0.00000000,0.00000000,low
ai_state,AI_PROFIT_TAKING,2,1,0.00000000,-0.05037037,-0.05037037,0.00000000,1.00000000,0.00000000,0.00068068,-0.03715899,-0.03383897,-0.06600000,0.00000000,0.00000000,low
ai_state,AI_PROFIT_TAKING,3,1,0.00000000,-0.01037037,-0.01037037,0.00000000,1.00000000,1.00000000,0.00914915,0.05263776,-0.01750292,-0.24000000,0.00000000,0.00000000,low
ai_state,AI_PROFIT_TAKING,5,1,0.00000000,-0.05481481,-0.05481481,0.00000000,0.00000000,1.00000000,-0.01427427,0.04020551,-0.07467911,-0.30000000,0.00000000,0.00000000,low
ai_state,AI_SINGLE_UP,0,30,0.66666667,0.00695403,0.00645220,-0.03753754,0.40000000,0.23333333,-0.00231875,-0.01688308,0.00596991,-0.00130435,0.00000000,0.30000000,medium
