symbol,trade_date,open,high,low,close,pct_chg,volume,amount,source_name,source_api,source_url,adjusted_type,fetched_at,source_status,error_message,retry_count,data_version,asset_type
512010.SH,20260311,0.374,0.375,0.371,0.373,-0.27,7708059.0,287512601.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260312,0.373,0.375,0.369,0.371,-0.54,8278929.0,307508637.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260313,0.369,0.371,0.367,0.368,-0.81,9454310.0,348656339.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260316,0.368,0.372,0.365,0.369,0.27,9376652.0,345588849.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260317,0.37,0.377,0.368,0.371,0.54,15670669.0,584394174.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260318,0.37,0.372,0.367,0.37,-0.27,9908187.0,365567313.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260319,0.368,0.37,0.364,0.365,-1.35,12114131.0,443616777.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260320,0.365,0.369,0.36,0.362,-0.82,11114904.0,404761875.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260323,0.358,0.358,0.346,0.348,-3.87,25481461.0,896642033.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260324,0.352,0.357,0.351,0.357,2.59,13559053.0,479613287.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260325,0.358,0.36,0.356,0.359,0.56,7618608.0,272790487.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260326,0.358,0.362,0.351,0.353,-1.67,10997148.0,391265755.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260327,0.35,0.365,0.349,0.365,3.4,19928188.0,716845284.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260330,0.361,0.367,0.36,0.365,0.0,10455288.0,380535178.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260331,0.366,0.373,0.364,0.364,-0.27,13375631.0,491974704.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260401,0.368,0.377,0.364,0.377,3.57,21264182.0,793257170.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260402,0.376,0.378,0.373,0.374,-0.8,14589954.0,547837867.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260403,0.372,0.373,0.366,0.368,-1.6,11250229.0,414886196.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260407,0.369,0.373,0.363,0.369,0.27,10267935.0,377796090.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260408,0.373,0.375,0.368,0.375,1.63,11845254.0,441012109.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260409,0.373,0.378,0.372,0.373,-0.53,9128765.0,341658682.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260410,0.373,0.378,0.371,0.373,0.0,10692896.0,400676403.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260413,0.371,0.373,0.369,0.371,-0.54,8031727.0,297487138.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260414,0.372,0.375,0.368,0.375,1.08,9648402.0,357335060.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260415,0.378,0.38,0.373,0.377,0.53,13402037.0,504423497.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260416,0.377,0.379,0.374,0.377,0.0,8372404.0,315006142.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260417,0.375,0.375,0.365,0.366,-2.92,17756980.0,653784563.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260420,0.366,0.367,0.363,0.365,-0.27,8746089.0,319182494.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260421,0.366,0.368,0.362,0.365,0.0,7946026.0,289254720.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260422,0.363,0.365,0.361,0.363,-0.55,7555758.0,274075138.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260423,0.364,0.37,0.363,0.365,0.55,12527007.0,458388130.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260424,0.365,0.369,0.362,0.366,0.27,10261894.0,375899312.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260427,0.366,0.366,0.362,0.364,-0.55,6735920.0,244902656.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260428,0.37,0.378,0.369,0.372,2.2,20322876.0,759424634.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260429,0.372,0.376,0.37,0.374,0.54,10304163.0,383651435.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260430,0.372,0.373,0.368,0.37,-1.07,9528835.0,352819786.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260506,0.37,0.371,0.367,0.368,-0.54,9469950.0,348683248.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260507,0.37,0.371,0.367,0.368,0.0,9494481.0,350182468.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260508,0.369,0.369,0.364,0.366,-0.54,11809267.0,432164734.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260511,0.365,0.371,0.362,0.37,1.09,16314244.0,597112048.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260512,0.369,0.38,0.367,0.372,0.54,25309663.0,942818689.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260513,0.372,0.373,0.366,0.37,-0.54,14817387.0,546063990.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260514,0.369,0.373,0.359,0.36,-2.7,22967470.0,835597006.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260515,0.359,0.363,0.355,0.356,-1.11,14754546.0,528988875.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260518,0.355,0.356,0.347,0.349,-1.97,17372889.0,608442590.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260519,0.349,0.353,0.346,0.349,0.0,14328192.0,499921925.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260520,0.348,0.349,0.343,0.347,-0.57,13692261.0,473414369.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260521,0.347,0.357,0.346,0.349,0.58,20179019.0,712053579.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
